Price,Prop_type,Size,Bath,Bed,City,Division
3800000,1,207,3,4,Gondomar, Fânzeres e São Pedro da Cova  
3385000,1,158,2,2,Matosinhos, Custóias
1250000,1,86,1,3,Lousada, Macieira  
5900000,1,245,3,4,Gondomar, Gondomar (São Cosme)
2800000,1,108,2,3,Matosinhos, São Mamede de Infesta e Senhora da Hora  
2800000,1,50,2,2,Vila Nova de Gaia, Arcozelo  
3500000,1,233,4,4,Maia, Castêlo da Maia  
980000,1,60,1,2,Paredes, Lordelo  
1999000,1,188,3,3,Amarante, Telões  
2350000,1,200,2,3,Marco de Canaveses, Tabuado  
2500000,1,120,2,5,Gondomar, Rio Tinto  
1950000,1,134,2,3,Valongo, Ermesinde  
3750000,1,208,4,6,Valongo, Ermesinde  
3800000,1,207,3,4,Gondomar, Fânzeres e São Pedro da Cova  
3385000,1,158,2,2,Matosinhos, Custóias
1250000,1,86,1,3,Lousada, Macieira  
5900000,1,245,3,4,Gondomar, Gondomar (São Cosme)
2800000,1,108,2,3,Matosinhos, São Mamede de Infesta e Senhora da Hora  
2800000,1,50,2,2,Vila Nova de Gaia, Arcozelo  
3500000,1,233,4,4,Maia, Castêlo da Maia  
980000,1,60,1,2,Paredes, Lordelo  
1999000,1,188,3,3,Amarante, Telões  
2350000,1,200,2,3,Marco de Canaveses, Tabuado  
2500000,1,120,2,5,Gondomar, Rio Tinto  
1950000,1,134,2,3,Valongo, Ermesinde  
3750000,1,208,4,6,Valongo, Ermesinde  
3800000,1,207,3,4,Gondomar, Fânzeres e São Pedro da Cova  
3385000,1,158,2,2,Matosinhos, Custóias
1250000,1,86,1,3,Lousada, Macieira  
5900000,1,245,3,4,Gondomar, Gondomar (São Cosme)
2800000,1,108,2,3,Matosinhos, São Mamede de Infesta e Senhora da Hora  
2800000,1,50,2,2,Vila Nova de Gaia, Arcozelo  
3500000,1,233,4,4,Maia, Castêlo da Maia  
980000,1,60,1,2,Paredes, Lordelo  
1999000,1,188,3,3,Amarante, Telões  
2350000,1,200,2,3,Marco de Canaveses, Tabuado  
2500000,1,120,2,5,Gondomar, Rio Tinto  
1950000,1,134,2,3,Valongo, Ermesinde  
3750000,1,208,4,6,Valongo, Ermesinde  
3800000,1,207,3,4,Gondomar, Fânzeres e São Pedro da Cova  
3385000,1,158,2,2,Matosinhos, Custóias
1250000,1,86,1,3,Lousada, Macieira  
5900000,1,245,3,4,Gondomar, Gondomar (São Cosme)
2800000,1,108,2,3,Matosinhos, São Mamede de Infesta e Senhora da Hora  
2800000,1,50,2,2,Vila Nova de Gaia, Arcozelo  
3500000,1,233,4,4,Maia, Castêlo da Maia  
980000,1,60,1,2,Paredes, Lordelo  
1999000,1,188,3,3,Amarante, Telões  
2350000,1,200,2,3,Marco de Canaveses, Tabuado  
2500000,1,120,2,5,Gondomar, Rio Tinto  
1950000,1,134,2,3,Valongo, Ermesinde  
3750000,1,208,4,6,Valongo, Ermesinde  
3800000,1,207,3,4,Gondomar, Fânzeres e São Pedro da Cova  
3385000,1,158,2,2,Matosinhos, Custóias
1250000,1,86,1,3,Lousada, Macieira  
5900000,1,245,3,4,Gondomar, Gondomar (São Cosme)
2800000,1,108,2,3,Matosinhos, São Mamede de Infesta e Senhora da Hora  
2800000,1,50,2,2,Vila Nova de Gaia, Arcozelo  
3500000,1,233,4,4,Maia, Castêlo da Maia  
980000,1,60,1,2,Paredes, Lordelo  
1999000,1,188,3,3,Amarante, Telões  
2350000,1,200,2,3,Marco de Canaveses, Tabuado  
2500000,1,120,2,5,Gondomar, Rio Tinto  
1950000,1,134,2,3,Valongo, Ermesinde  
3750000,1,208,4,6,Valongo, Ermesinde  
3800000,1,207,3,4,Gondomar, Fânzeres e São Pedro da Cova  
3385000,1,158,2,2,Matosinhos, Custóias
1250000,1,86,1,3,Lousada, Macieira  
5900000,1,245,3,4,Gondomar, Gondomar (São Cosme)
2800000,1,108,2,3,Matosinhos, São Mamede de Infesta e Senhora da Hora  
2800000,1,50,2,2,Vila Nova de Gaia, Arcozelo  
3500000,1,233,4,4,Maia, Castêlo da Maia  
980000,1,60,1,2,Paredes, Lordelo  
1999000,1,188,3,3,Amarante, Telões  
2350000,1,200,2,3,Marco de Canaveses, Tabuado  
2500000,1,120,2,5,Gondomar, Rio Tinto  
1950000,1,134,2,3,Valongo, Ermesinde  
3750000,1,208,4,6,Valongo, Ermesinde  
3800000,1,207,3,4,Gondomar, Fânzeres e São Pedro da Cova  
3385000,1,158,2,2,Matosinhos, Custóias
1250000,1,86,1,3,Lousada, Macieira  
5900000,1,245,3,4,Gondomar, Gondomar (São Cosme)
2800000,1,108,2,3,Matosinhos, São Mamede de Infesta e Senhora da Hora  
2800000,1,50,2,2,Vila Nova de Gaia, Arcozelo  
3500000,1,233,4,4,Maia, Castêlo da Maia  
980000,1,60,1,2,Paredes, Lordelo  
1999000,1,188,3,3,Amarante, Telões  
2350000,1,200,2,3,Marco de Canaveses, Tabuado  
2500000,1,120,2,5,Gondomar, Rio Tinto  
1950000,1,134,2,3,Valongo, Ermesinde  
3750000,1,208,4,6,Valongo, Ermesinde  
3800000,1,207,3,4,Gondomar, Fânzeres e São Pedro da Cova  
3385000,1,158,2,2,Matosinhos, Custóias
1250000,1,86,1,3,Lousada, Macieira  
5900000,1,245,3,4,Gondomar, Gondomar (São Cosme)
2800000,1,108,2,3,Matosinhos, São Mamede de Infesta e Senhora da Hora  
2800000,1,50,2,2,Vila Nova de Gaia, Arcozelo  
3500000,1,233,4,4,Maia, Castêlo da Maia  
980000,1,60,1,2,Paredes, Lordelo  
1999000,1,188,3,3,Amarante, Telões  
2350000,1,200,2,3,Marco de Canaveses, Tabuado  
2500000,1,120,2,5,Gondomar, Rio Tinto  
1950000,1,134,2,3,Valongo, Ermesinde  
3750000,1,208,4,6,Valongo, Ermesinde  
3800000,1,207,3,4,Gondomar, Fânzeres e São Pedro da Cova  
3385000,1,158,2,2,Matosinhos, Custóias
1250000,1,86,1,3,Lousada, Macieira  
5900000,1,245,3,4,Gondomar, Gondomar (São Cosme)
2800000,1,108,2,3,Matosinhos, São Mamede de Infesta e Senhora da Hora  
2800000,1,50,2,2,Vila Nova de Gaia, Arcozelo  
3500000,1,233,4,4,Maia, Castêlo da Maia  
980000,1,60,1,2,Paredes, Lordelo  
1999000,1,188,3,3,Amarante, Telões  
2350000,1,200,2,3,Marco de Canaveses, Tabuado  
2500000,1,120,2,5,Gondomar, Rio Tinto  
1950000,1,134,2,3,Valongo, Ermesinde  
3750000,1,208,4,6,Valongo, Ermesinde  
3800000,1,207,3,4,Gondomar, Fânzeres e São Pedro da Cova  
3385000,1,158,2,2,Matosinhos, Custóias
1250000,1,86,1,3,Lousada, Macieira  
5900000,1,245,3,4,Gondomar, Gondomar (São Cosme)
2800000,1,108,2,3,Matosinhos, São Mamede de Infesta e Senhora da Hora  
2800000,1,50,2,2,Vila Nova de Gaia, Arcozelo  
3500000,1,233,4,4,Maia, Castêlo da Maia  
980000,1,60,1,2,Paredes, Lordelo  
1999000,1,188,3,3,Amarante, Telões  
2350000,1,200,2,3,Marco de Canaveses, Tabuado  
