Price,Size,Bath,Bed,City_Gondomar,City_Guimarães,City_Other,City_Vila Nova de Gaia,City_   Cascais,City_   Lisboa,City_   Sintra,predicted_rent
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
2500000,120,2,5,1,0,0,0,0,0,0,146.80215654902668
1950000,134,2,3,0,0,1,0,0,0,0,206.3201721890107
3750000,208,4,6,0,0,1,0,0,0,0,263.99281024639265
3800000,207,3,4,1,0,0,0,0,0,0,336.7134623280632
3385000,158,2,2,0,0,1,0,0,0,0,278.5850608590288
1250000,86,1,3,0,0,1,0,0,0,0,118.05460746704223
5900000,245,3,4,1,0,0,0,0,0,0,411.144955041923
2800000,108,2,3,0,0,1,0,0,0,0,155.3933613847907
2800000,50,2,2,0,0,0,1,0,0,0,-26.03403806833122
3500000,233,4,4,0,0,1,0,0,0,0,363.4719472596191
980000,60,1,2,0,0,1,0,0,0,0,92.38332151356059
1999000,188,3,3,0,0,1,0,0,0,0,306.33807786579894
2350000,200,2,3,0,0,1,0,0,0,0,335.5959226920304
