Price,Address,Prop_type,Size,Bath,Bed
 142 000 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  48 m2 ,  1 ,  1 
 159 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  67 m2 ,  1 ,  2 
 215 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  95 m2 ,  0 ,  2 
 299 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  129 m2 ,  2 ,  2 
 106 500 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  34 m2 ,  1 ,  0 
 119 900 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  60 m2 ,  1 ,  2 
 97 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Store,  97 m2 ,  1 ,  0 
 169 500 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  63 m2 ,  1 ,  2 
 1 750 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Building,  330 m2 ,  1 ,  2 
 197 000 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  85 m2 ,  1 ,  1 
 275 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  100 m2 ,  2 ,  3 
 190 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 260 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 179 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  97 m2 ,  2 ,  3 
 230 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 188 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  65 m2 ,  1 ,  3 
 159 500 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  70 m2 ,  1 ,  2 
 229 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  116 m2 ,  2 ,  3 
 330 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Condo/Apartment,  100 m2 ,  2 ,  3 
 132 000 € ," Lisboa -   Amadora, Venteira  ",Condo/Apartment,  73 m2 ,  1 ,  1 
 142 000 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  48 m2 ,  1 ,  1 
 159 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  67 m2 ,  1 ,  2 
 215 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  95 m2 ,  0 ,  2 
 299 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  129 m2 ,  2 ,  2 
 106 500 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  34 m2 ,  1 ,  0 
 119 900 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  60 m2 ,  1 ,  2 
 97 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Store,  97 m2 ,  1 ,  0 
 169 500 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  63 m2 ,  1 ,  2 
 1 750 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Building,  330 m2 ,  1 ,  2 
 197 000 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  85 m2 ,  1 ,  1 
 275 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  100 m2 ,  2 ,  3 
 190 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 260 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 179 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  97 m2 ,  2 ,  3 
 230 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 188 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  65 m2 ,  1 ,  3 
 159 500 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  70 m2 ,  1 ,  2 
 229 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  116 m2 ,  2 ,  3 
 330 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Condo/Apartment,  100 m2 ,  2 ,  3 
 132 000 € ," Lisboa -   Amadora, Venteira  ",Condo/Apartment,  73 m2 ,  1 ,  1 
 142 000 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  48 m2 ,  1 ,  1 
 159 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  67 m2 ,  1 ,  2 
 215 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  95 m2 ,  0 ,  2 
 299 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  129 m2 ,  2 ,  2 
 106 500 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  34 m2 ,  1 ,  0 
 119 900 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  60 m2 ,  1 ,  2 
 97 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Store,  97 m2 ,  1 ,  0 
 169 500 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  63 m2 ,  1 ,  2 
 1 750 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Building,  330 m2 ,  1 ,  2 
 197 000 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  85 m2 ,  1 ,  1 
 275 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  100 m2 ,  2 ,  3 
 190 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 260 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 179 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  97 m2 ,  2 ,  3 
 230 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 188 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  65 m2 ,  1 ,  3 
 159 500 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  70 m2 ,  1 ,  2 
 229 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  116 m2 ,  2 ,  3 
 330 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Condo/Apartment,  100 m2 ,  2 ,  3 
 132 000 € ," Lisboa -   Amadora, Venteira  ",Condo/Apartment,  73 m2 ,  1 ,  1 
 142 000 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  48 m2 ,  1 ,  1 
 159 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  67 m2 ,  1 ,  2 
 215 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  95 m2 ,  0 ,  2 
 299 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  129 m2 ,  2 ,  2 
 106 500 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  34 m2 ,  1 ,  0 
 119 900 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  60 m2 ,  1 ,  2 
 97 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Store,  97 m2 ,  1 ,  0 
 169 500 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  63 m2 ,  1 ,  2 
 1 750 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Building,  330 m2 ,  1 ,  2 
 197 000 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  85 m2 ,  1 ,  1 
 275 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  100 m2 ,  2 ,  3 
 190 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 260 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 179 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  97 m2 ,  2 ,  3 
 230 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 188 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  65 m2 ,  1 ,  3 
 159 500 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  70 m2 ,  1 ,  2 
 229 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  116 m2 ,  2 ,  3 
 330 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Condo/Apartment,  100 m2 ,  2 ,  3 
 132 000 € ," Lisboa -   Amadora, Venteira  ",Condo/Apartment,  73 m2 ,  1 ,  1 
 142 000 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  48 m2 ,  1 ,  1 
 159 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  67 m2 ,  1 ,  2 
 215 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  95 m2 ,  0 ,  2 
 299 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  129 m2 ,  2 ,  2 
 106 500 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  34 m2 ,  1 ,  0 
 119 900 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  60 m2 ,  1 ,  2 
 97 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Store,  97 m2 ,  1 ,  0 
 169 500 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  63 m2 ,  1 ,  2 
 1 750 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Building,  330 m2 ,  1 ,  2 
 197 000 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  85 m2 ,  1 ,  1 
 275 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  100 m2 ,  2 ,  3 
 190 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 260 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 179 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  97 m2 ,  2 ,  3 
 230 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 188 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  65 m2 ,  1 ,  3 
 159 500 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  70 m2 ,  1 ,  2 
 229 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  116 m2 ,  2 ,  3 
 330 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Condo/Apartment,  100 m2 ,  2 ,  3 
 132 000 € ," Lisboa -   Amadora, Venteira  ",Condo/Apartment,  73 m2 ,  1 ,  1 
 142 000 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  48 m2 ,  1 ,  1 
 159 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  67 m2 ,  1 ,  2 
 215 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  95 m2 ,  0 ,  2 
 299 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  129 m2 ,  2 ,  2 
 106 500 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  34 m2 ,  1 ,  0 
 119 900 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  60 m2 ,  1 ,  2 
 97 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Store,  97 m2 ,  1 ,  0 
 169 500 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  63 m2 ,  1 ,  2 
 1 750 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Building,  330 m2 ,  1 ,  2 
 197 000 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  85 m2 ,  1 ,  1 
 275 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  100 m2 ,  2 ,  3 
 190 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 260 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 179 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  97 m2 ,  2 ,  3 
 230 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 188 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  65 m2 ,  1 ,  3 
 159 500 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  70 m2 ,  1 ,  2 
 229 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  116 m2 ,  2 ,  3 
 330 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Condo/Apartment,  100 m2 ,  2 ,  3 
 132 000 € ," Lisboa -   Amadora, Venteira  ",Condo/Apartment,  73 m2 ,  1 ,  1 
 142 000 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  48 m2 ,  1 ,  1 
 159 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  67 m2 ,  1 ,  2 
 215 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  95 m2 ,  0 ,  2 
 299 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  129 m2 ,  2 ,  2 
 106 500 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  34 m2 ,  1 ,  0 
 119 900 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  60 m2 ,  1 ,  2 
 97 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Store,  97 m2 ,  1 ,  0 
 169 500 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  63 m2 ,  1 ,  2 
 1 750 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Building,  330 m2 ,  1 ,  2 
 197 000 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  85 m2 ,  1 ,  1 
 275 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  100 m2 ,  2 ,  3 
 190 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 260 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 179 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  97 m2 ,  2 ,  3 
 230 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 188 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  65 m2 ,  1 ,  3 
 159 500 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  70 m2 ,  1 ,  2 
 229 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  116 m2 ,  2 ,  3 
 330 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Condo/Apartment,  100 m2 ,  2 ,  3 
 132 000 € ," Lisboa -   Amadora, Venteira  ",Condo/Apartment,  73 m2 ,  1 ,  1 
 142 000 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  48 m2 ,  1 ,  1 
 159 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  67 m2 ,  1 ,  2 
 215 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  95 m2 ,  0 ,  2 
 299 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  129 m2 ,  2 ,  2 
 106 500 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  34 m2 ,  1 ,  0 
 119 900 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  60 m2 ,  1 ,  2 
 97 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Store,  97 m2 ,  1 ,  0 
 169 500 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  63 m2 ,  1 ,  2 
 1 750 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Building,  330 m2 ,  1 ,  2 
 197 000 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  85 m2 ,  1 ,  1 
 275 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  100 m2 ,  2 ,  3 
 190 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 260 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 179 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  97 m2 ,  2 ,  3 
 230 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 188 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  65 m2 ,  1 ,  3 
 159 500 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  70 m2 ,  1 ,  2 
 229 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  116 m2 ,  2 ,  3 
 330 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Condo/Apartment,  100 m2 ,  2 ,  3 
 132 000 € ," Lisboa -   Amadora, Venteira  ",Condo/Apartment,  73 m2 ,  1 ,  1 
 142 000 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  48 m2 ,  1 ,  1 
 159 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  67 m2 ,  1 ,  2 
 215 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  95 m2 ,  0 ,  2 
 299 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  129 m2 ,  2 ,  2 
 106 500 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  34 m2 ,  1 ,  0 
 119 900 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  60 m2 ,  1 ,  2 
 97 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Store,  97 m2 ,  1 ,  0 
 169 500 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  63 m2 ,  1 ,  2 
 1 750 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Building,  330 m2 ,  1 ,  2 
 197 000 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  85 m2 ,  1 ,  1 
 275 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  100 m2 ,  2 ,  3 
 190 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 260 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 179 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  97 m2 ,  2 ,  3 
 230 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 188 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  65 m2 ,  1 ,  3 
 159 500 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  70 m2 ,  1 ,  2 
 229 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  116 m2 ,  2 ,  3 
 330 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Condo/Apartment,  100 m2 ,  2 ,  3 
 132 000 € ," Lisboa -   Amadora, Venteira  ",Condo/Apartment,  73 m2 ,  1 ,  1 
 142 000 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  48 m2 ,  1 ,  1 
 159 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  67 m2 ,  1 ,  2 
 215 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  95 m2 ,  0 ,  2 
 299 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  129 m2 ,  2 ,  2 
 106 500 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  34 m2 ,  1 ,  0 
 119 900 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  60 m2 ,  1 ,  2 
 97 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Store,  97 m2 ,  1 ,  0 
 169 500 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  63 m2 ,  1 ,  2 
 1 750 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Building,  330 m2 ,  1 ,  2 
 197 000 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  85 m2 ,  1 ,  1 
 275 000 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  100 m2 ,  2 ,  3 
 190 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  73 m2 ,  1 ,  2 
 260 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  73 m2 ,  1 ,  2 
